GeographyCode,GeographyName,PeriodLabel,MedianHousePrice,Year,PeriodEndDate,MedianEquivalisedDisposableIncome,MedianPurchaseAffordabilityRatioUK,GeographyLevel,AffordabilityThresholdPurchase
E12000004,East Midlands,1998/99,54000.0,1999,1999-03-31,15284.0,3.53,Country or Region,5.0
E12000004,East Midlands,1999/00,58500.0,2000,2000-03-31,15460.0,3.78,Country or Region,5.0
E12000004,East Midlands,2000/01,63500.0,2001,2001-03-31,16612.0,3.82,Country or Region,5.0
E12000004,East Midlands,2001/02,72250.0,2002,2002-03-31,17016.0,4.25,Country or Region,5.0
E12000004,East Midlands,2002/03,89000.0,2003,2003-03-31,18010.0,4.94,Country or Region,5.0
E12000004,East Midlands,2003/04,112000.0,2004,2004-03-31,18574.0,6.03,Country or Region,5.0
E12000004,East Midlands,2004/05,129950.0,2005,2005-03-31,19000.0,6.84,Country or Region,5.0
E12000004,East Midlands,2005/06,132000.0,2006,2006-03-31,19879.0,6.64,Country or Region,5.0
E12000004,East Midlands,2006/07,139140.0,2007,2007-03-31,20051.0,6.94,Country or Region,5.0
E12000004,East Midlands,2007/08,145000.0,2008,2008-03-31,20917.0,6.93,Country or Region,5.0
E12000004,East Midlands,2008/09,135000.0,2009,2009-03-31,21543.0,6.27,Country or Region,5.0
E12000004,East Midlands,2009/10,136000.0,2010,2010-03-31,22838.0,5.95,Country or Region,5.0
E12000004,East Midlands,2010/11,139000.0,2011,2011-03-31,22776.0,6.1,Country or Region,5.0
E12000004,East Midlands,2011/12,136500.0,2012,2012-03-31,23308.0,5.86,Country or Region,5.0
E12000004,East Midlands,2012/13,138000.0,2013,2013-03-31,23448.0,5.89,Country or Region,5.0
E12000004,East Midlands,2013/14,143000.0,2014,2014-03-31,24223.0,5.9,Country or Region,5.0
E12000004,East Midlands,2014/15,152000.0,2015,2015-03-31,25085.0,6.06,Country or Region,5.0
E12000004,East Midlands,2015/16,160000.0,2016,2016-03-31,26006.0,6.15,Country or Region,5.0
E12000004,East Midlands,2016/17,172000.0,2017,2017-03-31,26468.0,6.5,Country or Region,5.0
E12000004,East Midlands,2017/18,181000.0,2018,2018-03-31,26975.0,6.71,Country or Region,5.0
E12000004,East Midlands,2018/19,190000.0,2019,2019-03-31,26878.0,7.07,Country or Region,5.0
E12000004,East Midlands,2019/20,195000.0,2020,2020-03-31,29893.0,6.52,Country or Region,5.0
E12000004,East Midlands,2020/21,220000.0,2021,2021-03-31,31744.0,6.93,Country or Region,5.0
E12000004,East Midlands,2021/22,227500.0,2022,2022-03-31,31517.0,7.22,Country or Region,5.0
E12000004,East Midlands,2022/23,246995.0,2023,2023-03-31,33070.0,7.47,Country or Region,5.0
E12000004,East Midlands,2023/24,245000.0,2024,2024-03-31,36773.0,6.66,Country or Region,5.0
E12000006,East of England,1998/99,69995.0,1999,1999-03-31,15876.0,4.41,Country or Region,5.0
E12000006,East of England,1999/00,78000.0,2000,2000-03-31,17032.0,4.58,Country or Region,5.0
E12000006,East of England,2000/01,88950.0,2001,2001-03-31,17947.0,4.96,Country or Region,5.0
E12000006,East of England,2001/02,105000.0,2002,2002-03-31,18699.0,5.62,Country or Region,5.0
E12000006,East of England,2002/03,130000.0,2003,2003-03-31,19500.0,6.67,Country or Region,5.0
E12000006,East of England,2003/04,149995.0,2004,2004-03-31,20598.0,7.28,Country or Region,5.0
E12000006,East of England,2004/05,165000.0,2005,2005-03-31,21481.0,7.68,Country or Region,5.0
E12000006,East of England,2005/06,170000.0,2006,2006-03-31,22229.0,7.65,Country or Region,5.0
E12000006,East of England,2006/07,180000.0,2007,2007-03-31,22754.0,7.91,Country or Region,5.0
E12000006,East of England,2007/08,192000.0,2008,2008-03-31,23631.0,8.12,Country or Region,5.0
E12000006,East of England,2008/09,180000.0,2009,2009-03-31,24516.0,7.34,Country or Region,5.0
E12000006,East of England,2009/10,179000.0,2010,2010-03-31,25217.0,7.1,Country or Region,5.0
E12000006,East of England,2010/11,192000.0,2011,2011-03-31,25169.0,7.63,Country or Region,5.0
E12000006,East of England,2011/12,189950.0,2012,2012-03-31,24913.0,7.62,Country or Region,5.0
E12000006,East of England,2012/13,195000.0,2013,2013-03-31,25699.0,7.59,Country or Region,5.0
E12000006,East of England,2013/14,200000.0,2014,2014-03-31,27059.0,7.39,Country or Region,5.0
